id,date,day,public_holiday,start_time,end_time,break_hours,working_hours,bonus,travel_eur,gross_pay,tax,net_pay,gross_hourly,source,notes
7,2025-11-03,Monday,N,07:15,15:00,0.75,7.0,6.0,0.0,107.71,28.11,79.6,101.71,work_log.csv,
6,2025-11-04,Tuesday,N,07:15,14:00,0.75,6.0,6.0,0.0,93.18,24.1,69.08,87.18,work_log.csv,
5,2025-11-05,Wednesday,N,07:15,12:00,0.25,4.5,0.0,0.0,65.38,18.07,47.31,65.38,work_log.csv,
4,2025-11-06,Thursday,N,07:00,15:00,0.75,7.25,6.0,0.0,111.34,29.12,82.23,105.34,work_log.csv,
3,2025-11-07,Friday,N,07:15,15:00,0.75,7.0,6.0,0.0,107.71,28.11,79.6,101.71,work_log.csv,
2,2025-11-10,Monday,N,07:00,15:00,0.75,7.25,6.0,0.0,111.34,29.12,82.23,105.34,work_log.csv,
1,2025-11-11,Tuesday,N,07:00,15:30,0.75,7.75,6.0,0.0,118.61,31.12,87.48,112.61,work_log.csv,
8,2025-11-12,Wednesday,N,07:00,15:30,0.75,7.75,6.0,0.0,118.61,31.12,87.48,112.61,work_log.csv,
9,2025-11-13,Thursday,N,07:00,15:30,0.75,7.75,6.0,0.0,118.61,31.12,87.48,112.61,work_log.csv,
10,2025-11-14,Friday,N,07:00,15:30,0.75,7.75,6.0,0.0,118.61,31.12,87.48,112.61,work_log.csv,
11,2025-11-17,Monday,N,07:15,15:30,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,work_log.csv,
12,2025-11-18,Tuesday,N,07:15,15:00,0.75,7.0,6.0,0.0,107.71,28.11,79.6,101.71,work_log.csv,
13,2025-11-19,Wednesday,N,07:15,15:30,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,work_log.csv,None
14,2025-11-20,Thursday,N,07:15,15:30,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,work_log.csv,
15,2025-11-21,Friday,N,07:00,15:30,0.75,7.75,6.0,0.0,118.61,31.12,87.48,112.61,manual,
16,2025-11-24,Monday,N,07:00,15:20,0.75,7.583,6.0,0.0,116.18,30.45,85.73,110.18,manual,
17,2025-11-25,Tuesday,N,07:00,15:15,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,manual,
18,2025-11-26,Wednesday,N,07:00,15:15,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,manual,
19,2025-11-27,Thursday,N,07:00,15:30,0.75,7.75,6.0,0.0,118.61,31.12,87.48,112.61,manual,
20,2025-11-28,Friday,N,07:00,15:45,0.75,8.0,6.0,88.0,210.24,32.13,178.11,116.24,manual,
21,2025-12-01,Monday,N,07:00,15:35,0.75,7.833,6.0,0.0,119.81,31.46,88.36,113.81,manual,
22,2025-12-02,Tuesday,N,07:00,15:00,0.75,7.25,6.0,0.0,111.34,29.12,82.23,105.34,manual,
23,2025-12-03,Wednesday,N,07:00,15:15,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,manual,
24,2025-12-04,Thursday,N,07:00,15:15,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,manual,
25,2025-12-05,Friday,N,07:00,15:30,0.75,7.75,6.0,0.0,118.61,31.12,87.48,112.61,manual,
26,2025-12-08,Monday,N,07:15,15:30,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,manual,
27,2025-12-09,Tuesday,N,07:15,15:00,0.75,7.0,6.0,0.0,107.71,28.11,79.6,101.71,manual,
28,2025-12-10,Wednesday,N,07:15,15:30,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,manual,
29,2025-12-11,Thursday,N,00:00,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manual,
30,2025-12-12,Friday,N,07:15,15:30,0.75,7.5,6.0,0.0,114.97,30.12,84.85,108.97,manual,
31,2025-12-15,Monday,N,07:00,15:00,0.75,7.25,6.0,0.0,111.34,29.12,82.23,105.34,manual,
32,2025-12-16,Tuesday,N,07:00,15:25,0.75,7.667,6.0,0.0,117.4,30.79,86.61,111.4,manual,
